list,university,reference
QS,MIT,None
QS,Cambridge University,https://www.cctl.cam.ac.uk/content-notes/how-use/when-use
QS,Stanford,https://tlhub.stanford.edu/docs/writing-content-notices-for-sensitive-content/
QS,Oxford University,None
QS,Harvard,None
QS,Caltech,None
QS,Imperial College London,None
QS,University College London,None
QS,ETH Zurich,None
QS,Chicago,None
QS,NUS Singapore,None
QS,Peking University,None
QS,University of Pennsylvania,None
QS,Tsinghua University,None
QS,Edinburgh University,None
QS,EPFL Lausanne,None
QS,Princeton University,None
QS,Yale University,None
QS,NTU Singapore,None
QS,Cornell University,None
QS,University Hong Kong,None
QS,Columbia University,None
QS,The University of Tokyo,None
QS,Johns Hopkins University,None
QS,University of Michigan-Ann Arbor,https://sites.lsa.umich.edu/inclusive-teaching-sandbox/wp-content/uploads/sites/853/2021/02/An-Introduction-to-Content-Warnings-and-Trigger-Warnings-Draft.pdf
QS,Université PSL,None
QS,"University of California, Berkeley (UCB)",None
QS,Manchester University,https://www.staffnet.manchester.ac.uk/umitl/resources/inclusivity/content-notes-in-teaching/
QS,Seoul National University,None
QS,Australian National University (ANU),None
THE,Oxford University,None
THE,Harvard,None
THE,Cambridge University,https://www.cctl.cam.ac.uk/content-notes/how-use/when-use
THE,Stanford,https://tlhub.stanford.edu/docs/writing-content-notices-for-sensitive-content/
THE,MIT,None
THE,California Institute of Technology,None
THE,Princeton University,None
THE,"University of California, Berkeley (UCB)",None
THE,Yale University,None
THE,Imperial College London,None
THE,Columbia University,None
THE,ETH Zurich,None
THE,Chicago,None
THE,University of Pennsylvania,None
THE,Johns Hopkins University,None
THE,Tsinghua University,None
THE,Peking University,None
THE,UNIVERSITY OF TORONTO,https://hive.utsc.utoronto.ca/public/dean/academic%20administrators/DCD%202021-22/Teaching%20Sensitive%20Materials.pdf
THE,NUS Singapore,None
THE,Cornell University,None
THE,"University of California, LA",None
THE,UCL UK,None
THE,University of Michigan-Ann Arbor,https://sites.lsa.umich.edu/inclusive-teaching-sandbox/wp-content/uploads/sites/853/2021/02/An-Introduction-to-Content-Warnings-and-Trigger-Warnings-Draft.pdf
THE,New York University,None
THE,Duke University,None
russel-group,Cambridge University,https://www.cctl.cam.ac.uk/content-notes/how-use/when-use
russel-group,Warwick University,None
russel-group,Leeds University,kind of a doc without examples
russel-group,Birmingham University,pNone
russel-group,Bristol University,None
russel-group,Southampton University,None
russel-group,Sheffield University,None
russel-group,Newcastle University,None
russel-group,Nottingham University,https://www.nottingham.ac.uk/educational-excellence/documents/content-notes-policy-2122.pdf
russel-group,Liverpool University,None
russel-group,Glasgow University,None
russel-group,Cardiff University,None
russel-group,King's College London,None
russel-group,London School of Economics,None
russel-group,Durham University,None
russel-group,University of Exeter,None
russel-group,University of Manchester,https://www.staffnet.manchester.ac.uk/umitl/resources/inclusivity/content-notes-in-teaching/
russel-group,Queen Mary University of London,None
russel-group,Queen’s University Belfast,None
russel-group,University of York,https://www.york.ac.uk/media/abouttheuniversity/equality/documents/LLS-Departmental-Guidance-on-Content-Warnings-2021.pdf
None,Reading,https://www.reading.ac.uk/cqsd/-/media/project/functions/cqsd/documents/qap/trigger-warnings.pdf
None,Oberlin College,http://web.archive.org/web/20131122144749/http://new.oberlin.edu/office/equity-concerns/sexual-offense-resource-guide/prevention-support-education/support-resources-for-faculty.dot
None,Bath Spa,https://www.bathspa.ac.uk/media/bathspaacuk/about-us/policies/academic-and-student/Content-Warning-Policy.pdf